"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","TC_API_007 — Get user detail by email","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","30436","TC_UI_001 — Valid Login","chromium","2026-07-07","broken","2026-07-07","","ui/login.spec.ts","",""
"","9579","TC_API_002 — Get all brands list","api-tests","2026-07-07","failed","2026-07-07","","api/products.api.spec.ts","",""
"","2","TC_API_011 — Create account with duplicate email","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","1","TC_API_012 — DELETE method on verifyLogin","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","3","TC_API_006 — Verify login with valid credentials","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","2","TC_API_009 — Verify login with missing password","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","10286","TC_API_001 — Get all products list","api-tests","2026-07-07","failed","2026-07-07","","api/products.api.spec.ts","",""
"","2","TC_API_010 — Delete account","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","9502","TC_API_005 — Create new account","api-tests","2026-07-07","failed","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","30262","TC_UI_001 — Valid Login","firefox","2026-07-07","broken","2026-07-07","","ui/login.spec.ts","",""
"","9704","TC_API_003 — Search product by keyword","api-tests","2026-07-07","failed","2026-07-07","","api/products.api.spec.ts","",""
"","2","TC_API_008 — Verify login with invalid credentials","api-tests","2026-07-07","skipped","2026-07-07","Account creation","api/accounts.api.spec.ts","",""
"","9562","TC_API_004 — Search product with no keyword","api-tests","2026-07-07","failed","2026-07-07","","api/products.api.spec.ts","",""
"","30411","@smoke @regression TC_UI_003 — New User Signup","chromium","2026-07-07","broken","2026-07-07","","ui/signup.spec.ts","",""
